time,demoic_acid_concentration
UTC,ppm
2002-10-15T00:00:00Z,188
2002-11-15T00:00:00Z,147
2002-12-15T00:00:00Z,118
2003-01-15T00:00:00Z,107
2003-02-15T00:00:00Z,108
2003-03-15T00:00:00Z,66
2003-04-15T00:00:00Z,65
2003-05-15T00:00:00Z,43
2003-07-15T00:00:00Z,24
2003-08-15T00:00:00Z,38
2003-09-15T00:00:00Z,37
2003-10-15T00:00:00Z,14
2003-11-15T00:00:00Z,14
2003-12-15T00:00:00Z,11
2004-01-15T00:00:00Z,8
2004-02-15T00:00:00Z,18
2004-03-15T00:00:00Z,13
2004-04-15T00:00:00Z,9
2004-05-15T00:00:00Z,6
2004-08-15T00:00:00Z,6
2004-09-15T00:00:00Z,4
2004-10-15T00:00:00Z,7
2004-11-15T00:00:00Z,3
2004-12-15T00:00:00Z,4
2005-01-15T00:00:00Z,4
2005-02-15T00:00:00Z,2
2005-03-15T00:00:00Z,1
2005-04-15T00:00:00Z,9
2005-05-15T00:00:00Z,7
2005-06-15T00:00:00Z,2
2005-07-15T00:00:00Z,2
2005-08-15T00:00:00Z,2
2005-09-15T00:00:00Z,5
2005-10-15T00:00:00Z,8
2005-11-15T00:00:00Z,6
2005-12-15T00:00:00Z,5
2006-01-15T00:00:00Z,3
2006-02-15T00:00:00Z,2
2006-03-15T00:00:00Z,1
2006-04-15T00:00:00Z,2
2006-05-15T00:00:00Z,2
2006-06-15T00:00:00Z,2
2006-08-15T00:00:00Z,7
2006-09-15T00:00:00Z,4
2006-10-15T00:00:00Z,3
2006-11-15T00:00:00Z,2
2006-12-15T00:00:00Z,3
2007-01-15T00:00:00Z,5
2007-02-15T00:00:00Z,4
2007-03-15T00:00:00Z,4
2007-04-15T00:00:00Z,4
2007-05-15T00:00:00Z,4
2007-06-15T00:00:00Z,4
2007-07-15T00:00:00Z,1
2007-08-15T00:00:00Z,1
2007-09-15T00:00:00Z,1
2007-10-15T00:00:00Z,0
2007-11-15T00:00:00Z,0
2007-12-15T00:00:00Z,0
2008-01-15T00:00:00Z,0
2008-02-15T00:00:00Z,0
2008-03-15T00:00:00Z,0
2008-04-15T00:00:00Z,0
2008-05-15T00:00:00Z,0
2008-06-15T00:00:00Z,0
2008-07-15T00:00:00Z,0
2008-08-15T00:00:00Z,0
2008-09-15T00:00:00Z,0
2008-10-15T00:00:00Z,0
2008-11-15T00:00:00Z,0
2008-12-15T00:00:00Z,0
2009-01-15T00:00:00Z,0
2009-02-15T00:00:00Z,0
2009-03-15T00:00:00Z,0
2009-04-15T00:00:00Z,1
2009-05-15T00:00:00Z,1
2009-06-15T00:00:00Z,0
2009-07-15T00:00:00Z,0
2009-08-15T00:00:00Z,7
2009-09-15T00:00:00Z,7
2009-10-15T00:00:00Z,5
2009-11-15T00:00:00Z,7
2009-12-15T00:00:00Z,2
2010-01-15T00:00:00Z,4
2010-02-15T00:00:00Z,3
2010-03-15T00:00:00Z,2
2010-04-15T00:00:00Z,2
2010-05-15T00:00:00Z,2
2010-06-15T00:00:00Z,2
2010-07-15T00:00:00Z,2
2010-08-15T00:00:00Z,0
2010-09-15T00:00:00Z,0
2010-11-15T00:00:00Z,0
2010-12-15T00:00:00Z,0
2011-02-15T00:00:00Z,0
2011-03-15T00:00:00Z,0
2011-04-15T00:00:00Z,0
2011-11-15T00:00:00Z,0
2011-12-15T00:00:00Z,0
2012-01-15T00:00:00Z,0
2012-02-15T00:00:00Z,0
2012-04-15T00:00:00Z,0
2012-05-15T00:00:00Z,0
2012-06-15T00:00:00Z,0
2012-08-15T00:00:00Z,1
2012-09-15T00:00:00Z,2
2012-10-15T00:00:00Z,3
2012-11-15T00:00:00Z,1
2012-12-15T00:00:00Z,1
2013-01-15T00:00:00Z,1
2013-02-15T00:00:00Z,1
2013-03-15T00:00:00Z,0
2013-04-15T00:00:00Z,1
2013-05-15T00:00:00Z,1
2013-07-15T00:00:00Z,1
2013-08-15T00:00:00Z,2
2013-09-15T00:00:00Z,3
2013-10-15T00:00:00Z,3
2013-11-15T00:00:00Z,4
2013-12-15T00:00:00Z,6
2014-01-15T00:00:00Z,4
2014-02-15T00:00:00Z,2
2014-03-15T00:00:00Z,2
2014-04-15T00:00:00Z,2
2014-05-15T00:00:00Z,2
2014-06-15T00:00:00Z,2
2014-07-15T00:00:00Z,2
2014-08-15T00:00:00Z,1
2014-09-15T00:00:00Z,1
2014-10-15T00:00:00Z,1
2014-11-15T00:00:00Z,1
2014-12-15T00:00:00Z,1
2015-01-15T00:00:00Z,1
2015-02-15T00:00:00Z,1
2015-03-15T00:00:00Z,1
2015-04-15T00:00:00Z,2
2015-05-15T00:00:00Z,87
2015-06-15T00:00:00Z,92
2015-07-15T00:00:00Z,46
2015-08-15T00:00:00Z,30
2015-09-15T00:00:00Z,40
2015-10-15T00:00:00Z,32
2015-11-15T00:00:00Z,24
2015-12-15T00:00:00Z,25
2016-01-15T00:00:00Z,21
2016-02-15T00:00:00Z,17
2016-03-15T00:00:00Z,7
2016-04-15T00:00:00Z,2
2016-05-15T00:00:00Z,5
2016-06-15T00:00:00Z,3
2016-07-15T00:00:00Z,4
2016-08-15T00:00:00Z,3
2016-09-15T00:00:00Z,7
2016-10-15T00:00:00Z,6
2016-11-15T00:00:00Z,7
2016-12-15T00:00:00Z,9
2017-01-15T00:00:00Z,8
2017-02-15T00:00:00Z,6
2017-03-15T00:00:00Z,4
2017-04-15T00:00:00Z,6
2017-05-15T00:00:00Z,31
2017-06-15T00:00:00Z,20
2017-07-15T00:00:00Z,11
