time,abundance_index
UTC,abundance index
2003-01-01T00:00:00Z,44127.14
2004-01-01T00:00:00Z,35960.465
2005-01-01T00:00:00Z,42154.895
2006-01-01T00:00:00Z,44570.086
2007-01-01T00:00:00Z,34006.773
2008-01-01T00:00:00Z,37056.457
2009-01-01T00:00:00Z,51416.22
2010-01-01T00:00:00Z,52163.887
2011-01-01T00:00:00Z,56857.844
2012-01-01T00:00:00Z,55239.457
2013-01-01T00:00:00Z,60916.855
2014-01-01T00:00:00Z,69198.414
2015-01-01T00:00:00Z,39054.867
