time,demoic_acid_concentration
UTC,ppm
1990-04-15T00:00:00Z,13
1991-10-15T00:00:00Z,66
1991-11-15T00:00:00Z,75
1991-12-15T00:00:00Z,61
1992-01-15T00:00:00Z,33
1992-04-15T00:00:00Z,23
1992-05-15T00:00:00Z,4
1992-06-15T00:00:00Z,4
1992-08-15T00:00:00Z,7
1992-09-15T00:00:00Z,15
1992-10-15T00:00:00Z,7
1992-11-15T00:00:00Z,11
1992-12-15T00:00:00Z,3
1993-01-15T00:00:00Z,2
1993-02-15T00:00:00Z,4
1993-03-15T00:00:00Z,4
1993-04-15T00:00:00Z,6
1993-06-15T00:00:00Z,3
1993-07-15T00:00:00Z,0
1993-08-15T00:00:00Z,1
1993-09-15T00:00:00Z,0
1993-10-15T00:00:00Z,6
1993-11-15T00:00:00Z,19
1993-12-15T00:00:00Z,5
1994-01-15T00:00:00Z,10
1994-02-15T00:00:00Z,15
1994-03-15T00:00:00Z,21
1994-04-15T00:00:00Z,8
1994-05-15T00:00:00Z,5
1994-06-15T00:00:00Z,4
1994-07-15T00:00:00Z,1
1994-09-15T00:00:00Z,3
1994-10-15T00:00:00Z,4
1994-11-15T00:00:00Z,2
1994-12-15T00:00:00Z,2
1995-01-15T00:00:00Z,1
1995-02-15T00:00:00Z,4
1995-03-15T00:00:00Z,3
1995-04-15T00:00:00Z,8
1995-05-15T00:00:00Z,1
1995-06-15T00:00:00Z,3
1995-07-15T00:00:00Z,2
1995-08-15T00:00:00Z,2
1995-09-15T00:00:00Z,4
1995-10-15T00:00:00Z,2
1995-11-15T00:00:00Z,3
1995-12-15T00:00:00Z,2
1996-01-15T00:00:00Z,4
1996-02-15T00:00:00Z,3
1996-03-15T00:00:00Z,2
1996-04-15T00:00:00Z,4
1996-05-15T00:00:00Z,2
1996-06-15T00:00:00Z,5
1996-07-15T00:00:00Z,2
1996-08-15T00:00:00Z,1
1996-09-15T00:00:00Z,3
1996-10-15T00:00:00Z,2
1996-11-15T00:00:00Z,1
1996-12-15T00:00:00Z,3
1997-01-15T00:00:00Z,1
1997-02-15T00:00:00Z,2
1997-03-15T00:00:00Z,1
1998-08-15T00:00:00Z,8
1998-09-15T00:00:00Z,39
1998-10-15T00:00:00Z,81
1998-11-15T00:00:00Z,59
1998-12-15T00:00:00Z,52
1999-01-15T00:00:00Z,48
1999-02-15T00:00:00Z,27
1999-03-15T00:00:00Z,30
1999-04-15T00:00:00Z,24
1999-05-15T00:00:00Z,16
1999-06-15T00:00:00Z,13
1999-07-15T00:00:00Z,8
1999-08-15T00:00:00Z,4
1999-09-15T00:00:00Z,5
1999-10-15T00:00:00Z,13
1999-11-15T00:00:00Z,13
1999-12-15T00:00:00Z,7
2000-01-15T00:00:00Z,7
2000-02-15T00:00:00Z,5
2000-03-15T00:00:00Z,2
2000-04-15T00:00:00Z,6
2000-07-15T00:00:00Z,4
2000-08-15T00:00:00Z,2
2000-09-15T00:00:00Z,3
2000-10-15T00:00:00Z,9
2000-11-15T00:00:00Z,4
2001-01-15T00:00:00Z,4
2001-02-15T00:00:00Z,4
2001-03-15T00:00:00Z,22
2001-04-15T00:00:00Z,17
2001-05-15T00:00:00Z,11
2001-06-15T00:00:00Z,9
2001-07-15T00:00:00Z,7
2001-08-15T00:00:00Z,13
2001-09-15T00:00:00Z,18
2001-10-15T00:00:00Z,10
2001-11-15T00:00:00Z,10
2001-12-15T00:00:00Z,7
2002-01-15T00:00:00Z,9
2002-02-15T00:00:00Z,7
2002-03-15T00:00:00Z,5
2002-04-15T00:00:00Z,9
2002-05-15T00:00:00Z,4
2002-06-15T00:00:00Z,2
2002-07-15T00:00:00Z,3
2002-09-15T00:00:00Z,16
2002-10-15T00:00:00Z,132
2002-11-15T00:00:00Z,101
2002-12-15T00:00:00Z,81
2003-01-15T00:00:00Z,72
2003-02-15T00:00:00Z,59
2003-03-15T00:00:00Z,32
2003-04-15T00:00:00Z,33
2003-05-15T00:00:00Z,39
2003-06-15T00:00:00Z,19
2003-07-15T00:00:00Z,18
2003-08-15T00:00:00Z,6
2003-09-15T00:00:00Z,13
2003-10-15T00:00:00Z,4
2003-11-15T00:00:00Z,4
2003-12-15T00:00:00Z,7
2004-01-15T00:00:00Z,6
2004-02-15T00:00:00Z,9
2004-03-15T00:00:00Z,5
2004-04-15T00:00:00Z,3
2004-05-15T00:00:00Z,2
2004-06-15T00:00:00Z,3
2004-07-15T00:00:00Z,1
2004-08-15T00:00:00Z,5
2004-09-15T00:00:00Z,4
2004-10-15T00:00:00Z,3
2004-11-15T00:00:00Z,3
2004-12-15T00:00:00Z,3
2005-01-15T00:00:00Z,4
2005-02-15T00:00:00Z,3
2005-03-15T00:00:00Z,1
2005-04-15T00:00:00Z,20
2005-05-15T00:00:00Z,14
2005-06-15T00:00:00Z,7
2005-07-15T00:00:00Z,6
2005-08-15T00:00:00Z,2
2005-09-15T00:00:00Z,4
2005-10-15T00:00:00Z,9
2005-11-15T00:00:00Z,5
2005-12-15T00:00:00Z,5
2006-01-15T00:00:00Z,4
2006-02-15T00:00:00Z,2
2006-03-15T00:00:00Z,2
2006-04-15T00:00:00Z,3
2006-05-15T00:00:00Z,2
2006-06-15T00:00:00Z,3
2006-07-15T00:00:00Z,4
2006-08-15T00:00:00Z,4
2006-09-15T00:00:00Z,3
2006-10-15T00:00:00Z,2
2006-11-15T00:00:00Z,2
2006-12-15T00:00:00Z,1
2007-01-15T00:00:00Z,4
2007-02-15T00:00:00Z,4
2007-03-15T00:00:00Z,3
2007-04-15T00:00:00Z,4
2007-05-15T00:00:00Z,3
2007-06-15T00:00:00Z,4
2007-07-15T00:00:00Z,1
2007-08-15T00:00:00Z,0
2007-09-15T00:00:00Z,0
2007-10-15T00:00:00Z,0
2007-11-15T00:00:00Z,1
2008-01-15T00:00:00Z,1
2008-02-15T00:00:00Z,1
2008-03-15T00:00:00Z,0
2008-04-15T00:00:00Z,0
2008-06-15T00:00:00Z,0
2008-07-15T00:00:00Z,0
2008-10-15T00:00:00Z,1
2008-11-15T00:00:00Z,2
2008-12-15T00:00:00Z,2
2009-01-15T00:00:00Z,1
2009-03-15T00:00:00Z,1
2009-04-15T00:00:00Z,1
2009-05-15T00:00:00Z,1
2009-06-15T00:00:00Z,1
2009-07-15T00:00:00Z,1
2009-08-15T00:00:00Z,3
2009-09-15T00:00:00Z,1
2009-10-15T00:00:00Z,4
2009-11-15T00:00:00Z,2
2009-12-15T00:00:00Z,0
2010-01-15T00:00:00Z,1
2010-02-15T00:00:00Z,1
2010-03-15T00:00:00Z,0
2010-04-15T00:00:00Z,0
2010-05-15T00:00:00Z,1
2010-06-15T00:00:00Z,1
2010-09-15T00:00:00Z,0
2010-11-15T00:00:00Z,1
2010-12-15T00:00:00Z,1
2011-01-15T00:00:00Z,1
2011-02-15T00:00:00Z,0
2011-03-15T00:00:00Z,0
2011-04-15T00:00:00Z,0
2011-05-15T00:00:00Z,0
2011-09-15T00:00:00Z,0
2011-10-15T00:00:00Z,0
2011-11-15T00:00:00Z,0
2011-12-15T00:00:00Z,0
2012-01-15T00:00:00Z,0
2012-02-15T00:00:00Z,0
2012-03-15T00:00:00Z,0
2012-04-15T00:00:00Z,0
2012-05-15T00:00:00Z,0
2012-06-15T00:00:00Z,0
2012-08-15T00:00:00Z,0
2012-09-15T00:00:00Z,1
2012-10-15T00:00:00Z,1
2012-11-15T00:00:00Z,1
