time,demoic_acid_concentration
UTC,ppm
1991-11-15T00:00:00Z,14
1992-01-15T00:00:00Z,27
1992-02-15T00:00:00Z,38
1992-03-15T00:00:00Z,24
1992-04-15T00:00:00Z,29
1992-05-15T00:00:00Z,13
1992-06-15T00:00:00Z,6
1992-07-15T00:00:00Z,8
1992-08-15T00:00:00Z,14
1992-09-15T00:00:00Z,8
1992-10-15T00:00:00Z,8
1992-11-15T00:00:00Z,9
1992-12-15T00:00:00Z,12
1993-01-15T00:00:00Z,5
1993-02-15T00:00:00Z,5
1993-03-15T00:00:00Z,7
1993-04-15T00:00:00Z,7
1993-05-15T00:00:00Z,6
1993-08-15T00:00:00Z,3
1994-01-15T00:00:00Z,12
1994-02-15T00:00:00Z,11
1994-03-15T00:00:00Z,6
1994-04-15T00:00:00Z,4
1994-05-15T00:00:00Z,5
1994-09-15T00:00:00Z,7
1994-10-15T00:00:00Z,6
1994-11-15T00:00:00Z,6
1994-12-15T00:00:00Z,4
1995-01-15T00:00:00Z,4
1995-02-15T00:00:00Z,2
1995-03-15T00:00:00Z,1
1995-04-15T00:00:00Z,8
1995-05-15T00:00:00Z,7
1995-06-15T00:00:00Z,6
1995-07-15T00:00:00Z,2
1995-08-15T00:00:00Z,3
1995-09-15T00:00:00Z,3
1995-10-15T00:00:00Z,2
1995-11-15T00:00:00Z,1
1995-12-15T00:00:00Z,2
1996-01-15T00:00:00Z,0
1996-02-15T00:00:00Z,2
1996-03-15T00:00:00Z,1
1996-04-15T00:00:00Z,0
1996-05-15T00:00:00Z,2
1996-11-15T00:00:00Z,1
1996-12-15T00:00:00Z,2
1997-01-15T00:00:00Z,0
1997-02-15T00:00:00Z,2
1997-03-15T00:00:00Z,1
1997-04-15T00:00:00Z,1
1997-05-15T00:00:00Z,0
1998-08-15T00:00:00Z,11
1998-09-15T00:00:00Z,94
1998-10-15T00:00:00Z,90
1998-11-15T00:00:00Z,129
1998-12-15T00:00:00Z,46
1999-01-15T00:00:00Z,32
1999-02-15T00:00:00Z,35
1999-03-15T00:00:00Z,29
1999-04-15T00:00:00Z,31
1999-05-15T00:00:00Z,26
1999-07-15T00:00:00Z,15
1999-08-15T00:00:00Z,8
1999-09-15T00:00:00Z,10
1999-10-15T00:00:00Z,9
1999-11-15T00:00:00Z,3
1999-12-15T00:00:00Z,1
2000-01-15T00:00:00Z,8
2000-02-15T00:00:00Z,6
2000-03-15T00:00:00Z,10
2000-04-15T00:00:00Z,2
2000-05-15T00:00:00Z,3
2000-07-15T00:00:00Z,5
2000-08-15T00:00:00Z,3
2000-09-15T00:00:00Z,5
2000-11-15T00:00:00Z,6
2001-03-15T00:00:00Z,10
2001-04-15T00:00:00Z,10
2001-05-15T00:00:00Z,14
2001-08-15T00:00:00Z,6
2001-09-15T00:00:00Z,4
2002-02-15T00:00:00Z,1
2002-04-15T00:00:00Z,1
2002-08-15T00:00:00Z,2
2003-04-15T00:00:00Z,61
2003-05-15T00:00:00Z,55
2003-06-15T00:00:00Z,40
2003-07-15T00:00:00Z,34
2003-08-15T00:00:00Z,22
2003-09-15T00:00:00Z,33
2003-10-15T00:00:00Z,25
2003-11-15T00:00:00Z,14
2003-12-15T00:00:00Z,12
2004-01-15T00:00:00Z,11
2004-02-15T00:00:00Z,15
2004-03-15T00:00:00Z,13
2004-04-15T00:00:00Z,9
2004-05-15T00:00:00Z,5
2004-06-15T00:00:00Z,7
2004-07-15T00:00:00Z,3
2004-08-15T00:00:00Z,7
2004-09-15T00:00:00Z,4
2004-10-15T00:00:00Z,2
2004-11-15T00:00:00Z,3
2004-12-15T00:00:00Z,3
2005-01-15T00:00:00Z,3
2005-02-15T00:00:00Z,4
2005-03-15T00:00:00Z,2
2005-04-15T00:00:00Z,4
2005-05-15T00:00:00Z,4
2005-06-15T00:00:00Z,5
2005-08-15T00:00:00Z,4
2005-09-15T00:00:00Z,5
2005-10-15T00:00:00Z,4
2005-11-15T00:00:00Z,3
2005-12-15T00:00:00Z,5
2006-01-15T00:00:00Z,5
2006-02-15T00:00:00Z,5
2006-03-15T00:00:00Z,2
2006-04-15T00:00:00Z,5
2006-05-15T00:00:00Z,5
2006-06-15T00:00:00Z,3
2006-07-15T00:00:00Z,8
2006-08-15T00:00:00Z,14
2006-09-15T00:00:00Z,6
2006-10-15T00:00:00Z,5
2006-11-15T00:00:00Z,3
2006-12-15T00:00:00Z,4
2007-01-15T00:00:00Z,1
2007-02-15T00:00:00Z,4
2007-03-15T00:00:00Z,4
2007-04-15T00:00:00Z,4
2007-05-15T00:00:00Z,5
2007-06-15T00:00:00Z,4
2007-07-15T00:00:00Z,1
2007-08-15T00:00:00Z,1
2007-09-15T00:00:00Z,0
2007-10-15T00:00:00Z,0
2007-11-15T00:00:00Z,0
2007-12-15T00:00:00Z,1
2008-01-15T00:00:00Z,0
2008-03-15T00:00:00Z,0
2008-04-15T00:00:00Z,0
2008-06-15T00:00:00Z,1
2008-07-15T00:00:00Z,1
2008-08-15T00:00:00Z,0
2008-09-15T00:00:00Z,0
2008-11-15T00:00:00Z,0
2008-12-15T00:00:00Z,0
2009-01-15T00:00:00Z,0
2009-02-15T00:00:00Z,0
2009-03-15T00:00:00Z,0
2009-05-15T00:00:00Z,1
2009-06-15T00:00:00Z,1
2009-07-15T00:00:00Z,1
2009-08-15T00:00:00Z,8
2009-09-15T00:00:00Z,8
2009-10-15T00:00:00Z,6
2010-01-15T00:00:00Z,1
2010-02-15T00:00:00Z,3
2010-03-15T00:00:00Z,2
2010-04-15T00:00:00Z,1
2010-05-15T00:00:00Z,1
2010-06-15T00:00:00Z,2
2010-07-15T00:00:00Z,2
2010-08-15T00:00:00Z,1
2010-09-15T00:00:00Z,1
2011-01-15T00:00:00Z,1
2011-02-15T00:00:00Z,0
2011-03-15T00:00:00Z,0
2011-04-15T00:00:00Z,0
2011-05-15T00:00:00Z,0
2011-08-15T00:00:00Z,0
2011-09-15T00:00:00Z,0
2011-10-15T00:00:00Z,0
2012-03-15T00:00:00Z,0
2012-04-15T00:00:00Z,0
2012-08-15T00:00:00Z,1
2012-09-15T00:00:00Z,2
2012-10-15T00:00:00Z,3
2012-11-15T00:00:00Z,2
2012-12-15T00:00:00Z,2
2013-01-15T00:00:00Z,1
2013-02-15T00:00:00Z,1
2013-03-15T00:00:00Z,2
2013-05-15T00:00:00Z,1
2013-07-15T00:00:00Z,2
2013-08-15T00:00:00Z,3
2013-09-15T00:00:00Z,3
2013-10-15T00:00:00Z,2
2013-11-15T00:00:00Z,2
2013-12-15T00:00:00Z,4
2014-01-15T00:00:00Z,3
2014-02-15T00:00:00Z,2
2014-04-15T00:00:00Z,4
2014-05-15T00:00:00Z,2
2014-06-15T00:00:00Z,3
2014-07-15T00:00:00Z,2
2014-08-15T00:00:00Z,1
2014-09-15T00:00:00Z,1
2014-10-15T00:00:00Z,1
2014-12-15T00:00:00Z,1
2015-01-15T00:00:00Z,1
2015-02-15T00:00:00Z,1
2015-03-15T00:00:00Z,1
2015-04-15T00:00:00Z,1
2015-05-15T00:00:00Z,103
2015-06-15T00:00:00Z,110
2015-07-15T00:00:00Z,51
2015-08-15T00:00:00Z,32
2015-09-15T00:00:00Z,31
2015-10-15T00:00:00Z,31
2015-11-15T00:00:00Z,30
2015-12-15T00:00:00Z,28
2016-01-15T00:00:00Z,20
2016-02-15T00:00:00Z,24
2016-03-15T00:00:00Z,8
2016-04-15T00:00:00Z,8
2016-05-15T00:00:00Z,10
2016-06-15T00:00:00Z,5
2016-07-15T00:00:00Z,2
2016-08-15T00:00:00Z,5
2016-09-15T00:00:00Z,8
2016-10-15T00:00:00Z,8
2016-11-15T00:00:00Z,8
2017-01-15T00:00:00Z,8
2017-03-15T00:00:00Z,6
2017-04-15T00:00:00Z,5
2017-05-15T00:00:00Z,34
2017-06-15T00:00:00Z,18
2017-07-15T00:00:00Z,11
2017-08-15T00:00:00Z,11
2017-09-15T00:00:00Z,13
2017-10-15T00:00:00Z,7
2017-11-15T00:00:00Z,9
2017-12-15T00:00:00Z,9
2018-01-15T00:00:00Z,5
2018-02-15T00:00:00Z,6
