time,year,month,mei,ONI,PDO,NPGO,NOI,NPH area,SST_box 0-75km 33N,SST_box 0-75km 39N,SST_box 0-75km 45N,SST_box 75-150km 33N,SST_box 75-150km 39N,SST_box 75-150km 45N,CHL_box 0-75km 33N,CHL_box 0-75km 39N,CHL_box 0-75km 45N,BEUTI 33N,BEUTI 39N,BEUTI 45N,CUTI 33N,CUTI 39N,CUTI 45N,DO 80-80 @50m,DO 80-80 @150m,DO 93.3-30 @50m,DO 93.3-30 @150m,DO 93.3-110 @50m,DO 93.3-110 @150m,DO NH05 @50m,DO NH05 @150m,DO NH25 @50m,DO NH25 @150m
1971-06-01,1971,7,NA,-0.7700000007947286,-1.3000000019868214,0.6365321675936381,0.3950000007947286,4632402.60722766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-06-01,1972,7,NA,1.1400000055631,-0.8166666626930237,-0.5035863022009531,-1.5260000228881836,4164056.3091326263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,4.51,NA,NA,NA,NA,NA,NA,NA,NA
1973-06-01,1973,7,NA,-1.0866666634877522,-0.8933333357175192,0.3350607305765152,1.7366666595141094,5428735.448804249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-06-01,1974,7,NA,-0.5566666523615519,-0.039999996622403465,0.2858377546072006,0.4230000029007594,4738418.31453186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-06-01,1975,7,NA,-1.1033333539962769,-0.8766666750113169,0.6649318436781565,1.6899999976158142,5765502.802086824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-06-01,1976,7,NA,0.1600000001490116,0.4066666563351949,2.2568418979644775,-0.8413333495457967,4834248.801985213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-06-01,1977,7,NA,0.3699999948342641,0.4166666567325592,1.0817952156066895,-0.28700005014737445,4294374.810232095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-06-01,1978,7,NA,-0.3566666642824809,-0.5500000019868215,0.5579785108566284,2.1193333069483438,5224129.978138735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.925,2.505,4.244999999999999,2.5599999999999996,5.529999999999999,5.300000000000001,NA,NA,NA,NA
1979-06-01,1979,7,0.04999999999999999,0.08666666721304257,0.5099999854962031,-1.0739859541257222,-0.43133334318796795,4012622.733938357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-06-01,1980,7,0.4633333333333333,0.24666666922469935,0.1733333319425583,-0.9187698761622111,-0.05566668510437012,5301698.961518247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
