MTL,Length,PDR,EN,LHTR,Rich
4.089252983,30.48409682,0.697638789,14.75439532,1.150829006,38.16380024
4.12281754,31.61291631,1.810032593,18.66235888,1.168376959,33.04306178
4.096882136,28.6234571,1.395322145,23.42601413,1.30593213,43.13346554
4.059390396,28.14572035,0.856497071,25.44717656,0.899819884,43
3.987166566,26.95270749,0.729638908,21.34613784,1.349778346,35.15818543
3.988853285,29.82517757,1.316708503,24.14108212,1.233422637,41.09214769
3.990911857,27.42960657,1.753897671,25.74493048,0.704644857,39.58680103
3.946986528,29.29640318,0.891693563,27.46752659,0.747127271,40.14293254
3.991385597,26.58343428,1.022431064,24.31925819,0.547564211,40.68883543
4.044761084,26.357257,1.802378898,26.91196932,0.716445245,52.69565164
4.033913235,29.03027869,0.905763391,32.06147046,0.654959296,45.33707774
3.989325901,23.87207918,0.872103646,25.61485297,0.66512367,52.43031468
4.098766952,23.4148993,0.91999777,24.64978508,0.811540064,37.35346142
4.042049212,24.98826195,0.885810491,24.95669787,0.856435991,37.60214432
4.026833788,26.59404794,0.521412277,32.3401421,0.775792145,40.96394716
4.021448734,25.46140183,0.412261494,24.28592033,1.512198202,32.96990348
4.014055322,20.97154754,1.193783068,24.91318947,0.806258203,36.1751551
3.992043669,25.22564963,1.060886554,23.99133093,0.769687075,41.43452195
4.021347018,23.82638182,1.295322381,23.31679064,0.824726058,38.59885744
4.057193264,28.41300786,1.771466266,24.25487374,0.576131746,44.89804443
3.940611209,26.75664367,1.056106702,18.14681761,1.182753741,36.07538235
3.963639507,24.92803912,1.043630739,19.90554532,0.836058641,32.12803922
4.016332865,27.12697094,2.584419155,21.58395923,1.001812604,39.25756221
3.98245014,26.6254026,1.278421546,24.71175562,0.616671742,38.43141225
4.012815196,32.04254839,1.935705642,36.71217828,0.847056046,44.65668369
4.007768057,26.34401379,2.48672648,19.50901257,0.765879986,35.83507874
3.930421594,22.8537491,1.387938431,22.01690883,1.058817158,38.02619514
4.041888279,30.88083981,3.18353403,27.02312245,0.8689395,39.14273435
4.018640344,28.00573646,2.367622104,27.06780262,1.355112788,40.54373405
3.990625763,24.73541719,3.224473193,11.15329564,1.135016288,32.05808151
3.965871163,22.49068418,1.773758227,28.28987594,1.834277845,44.46619287
4.021513759,25.86544434,3.062720699,25.92916262,2.204473076,41.14944768
3.989165755,22.78802097,2.475957047,18.69679985,2.870182751,38.1494866
4.035053234,28.37422587,3.148936536,28.74374797,2.109077732,34.94433259
4.031844063,25.72637749,2.958572291,28.9188859,2.274716322,42.95276091
4.021317499,24.0411217,2.061536413,28.79502899,2.36922047,41.00679202
4.024856217,21.28805606,1.402289416,24.07074821,2.949242085,40.88372509
3.978955976,20.51636216,1.260941594,24.72449054,1.846497307,39.71833436
3.983196586,21.56188237,1.320769343,32.07705852,1.941210825,44.23166615
3.982587915,21.44371902,2.62331966,24.59468135,1.7967865,38.15967519
3.98870615,22.70208359,0.97826034,28.26601877,1.357044907,41.63042836
4.038228842,19.50243543,1.042838482,27.49189888,1.583328967,38.38413582
4.033799602,25.46212759,2.093885235,29.56386213,1.867296872,38.49071801
4.090754593,22.80703184,3.895844707,23.53029574,1.888124325,41.34635942
4.019211101,21.95687196,1.925156965,16.20239466,1.178086174,32.56388112
4.000334595,23.24877393,1.746994942,19.21761778,1.464028741,35.16560528
3.982510665,21.45444317,2.059601565,26.40312032,1.15819979,48.24888462
4.003201331,19.10589408,1.70894517,15.21736446,1.056426432,44.89628902
3.938417846,21.08238566,2.682065256,21.46375948,1.2,46.79091287
4.008227407,19.35601425,2.808074819,14.54891356,1.1,42.70644059
