time,dissolved_oxygen
UTC,ml/L
1997-12-01T00:00:00Z,NaN
1998-01-01T00:00:00Z,2.41
1998-02-01T00:00:00Z,NaN
1998-03-01T00:00:00Z,NaN
1998-04-01T00:00:00Z,2.25
1998-05-01T00:00:00Z,NaN
1998-06-01T00:00:00Z,NaN
1998-07-01T00:00:00Z,2.65
1998-08-01T00:00:00Z,NaN
1998-09-01T00:00:00Z,3.22
1998-10-01T00:00:00Z,NaN
1998-11-01T00:00:00Z,NaN
1998-12-01T00:00:00Z,NaN
1999-01-01T00:00:00Z,2.61
1999-02-01T00:00:00Z,NaN
1999-03-01T00:00:00Z,NaN
1999-04-01T00:00:00Z,1.89
1999-05-01T00:00:00Z,NaN
1999-06-01T00:00:00Z,NaN
1999-07-01T00:00:00Z,NaN
1999-08-01T00:00:00Z,2.57
1999-09-01T00:00:00Z,NaN
1999-10-01T00:00:00Z,3.03
1999-11-01T00:00:00Z,NaN
1999-12-01T00:00:00Z,NaN
2000-01-01T00:00:00Z,2.57
2000-02-01T00:00:00Z,NaN
2000-03-01T00:00:00Z,NaN
2000-04-01T00:00:00Z,2.33
2000-05-01T00:00:00Z,NaN
2000-06-01T00:00:00Z,2.54
2000-07-01T00:00:00Z,NaN
2000-08-01T00:00:00Z,NaN
2000-09-01T00:00:00Z,NaN
2000-10-01T00:00:00Z,1.85
2000-11-01T00:00:00Z,NaN
2000-12-01T00:00:00Z,NaN
2001-01-01T00:00:00Z,2.19
2001-02-01T00:00:00Z,NaN
2001-03-01T00:00:00Z,NaN
2001-04-01T00:00:00Z,1.68
2001-05-01T00:00:00Z,NaN
2001-06-01T00:00:00Z,NaN
2001-07-01T00:00:00Z,2.44
2001-08-01T00:00:00Z,NaN
2001-09-01T00:00:00Z,NaN
2001-10-01T00:00:00Z,1.89
2001-11-01T00:00:00Z,NaN
2001-12-01T00:00:00Z,NaN
2002-01-01T00:00:00Z,2.3
2002-02-01T00:00:00Z,NaN
2002-03-01T00:00:00Z,2.16
2002-04-01T00:00:00Z,NaN
2002-05-01T00:00:00Z,NaN
2002-06-01T00:00:00Z,NaN
2002-07-01T00:00:00Z,2.03
2002-08-01T00:00:00Z,NaN
2002-09-01T00:00:00Z,NaN
2002-10-01T00:00:00Z,NaN
2002-11-01T00:00:00Z,1.93
2002-12-01T00:00:00Z,NaN
2003-01-01T00:00:00Z,2.19
2003-02-01T00:00:00Z,NaN
2003-03-01T00:00:00Z,NaN
2003-04-01T00:00:00Z,1.705
2003-05-01T00:00:00Z,NaN
2003-06-01T00:00:00Z,NaN
2003-07-01T00:00:00Z,2.0
2003-08-01T00:00:00Z,NaN
2003-09-01T00:00:00Z,NaN
2003-10-01T00:00:00Z,2.32
2003-11-01T00:00:00Z,NaN
2003-12-01T00:00:00Z,NaN
2004-01-01T00:00:00Z,2.87
2004-02-01T00:00:00Z,NaN
2004-03-01T00:00:00Z,2.26
2004-04-01T00:00:00Z,NaN
2004-05-01T00:00:00Z,NaN
2004-06-01T00:00:00Z,NaN
2004-07-01T00:00:00Z,1.66
2004-08-01T00:00:00Z,NaN
2004-09-01T00:00:00Z,NaN
2004-10-01T00:00:00Z,NaN
2004-11-01T00:00:00Z,3.41
2004-12-01T00:00:00Z,NaN
2005-01-01T00:00:00Z,3.03
2005-02-01T00:00:00Z,NaN
2005-03-01T00:00:00Z,NaN
2005-04-01T00:00:00Z,1.84
2005-05-01T00:00:00Z,NaN
2005-06-01T00:00:00Z,NaN
2005-07-01T00:00:00Z,1.45
2005-08-01T00:00:00Z,NaN
2005-09-01T00:00:00Z,NaN
2005-10-01T00:00:00Z,NaN
2005-11-01T00:00:00Z,0.75
2005-12-01T00:00:00Z,NaN
2006-01-01T00:00:00Z,NaN
2006-02-01T00:00:00Z,2.19
2006-03-01T00:00:00Z,NaN
2006-04-01T00:00:00Z,1.48
2006-05-01T00:00:00Z,NaN
2006-06-01T00:00:00Z,NaN
2006-07-01T00:00:00Z,1.93
2006-08-01T00:00:00Z,NaN
2006-09-01T00:00:00Z,NaN
2006-10-01T00:00:00Z,2.28
2006-11-01T00:00:00Z,NaN
2006-12-01T00:00:00Z,NaN
2007-01-01T00:00:00Z,2.13
2007-02-01T00:00:00Z,NaN
2007-03-01T00:00:00Z,2.32
2007-04-01T00:00:00Z,NaN
2007-05-01T00:00:00Z,NaN
2007-06-01T00:00:00Z,2.29
2007-07-01T00:00:00Z,NaN
2007-08-01T00:00:00Z,NaN
2007-09-01T00:00:00Z,NaN
2007-10-01T00:00:00Z,NaN
2007-11-01T00:00:00Z,2.58
2007-12-01T00:00:00Z,NaN
2008-01-01T00:00:00Z,1.89
2008-02-01T00:00:00Z,NaN
2008-03-01T00:00:00Z,1.37
2008-04-01T00:00:00Z,NaN
2008-05-01T00:00:00Z,NaN
2008-06-01T00:00:00Z,NaN
2008-07-01T00:00:00Z,NaN
2008-08-01T00:00:00Z,2.6
2008-09-01T00:00:00Z,NaN
2008-10-01T00:00:00Z,1.95
2008-11-01T00:00:00Z,NaN
2008-12-01T00:00:00Z,NaN
2009-01-01T00:00:00Z,2.38
2009-02-01T00:00:00Z,NaN
