time,dissolved_oxygen
UTC,ml/L
1998-01-01T00:00:00Z,3.82
1998-02-01T00:00:00Z,NaN
1998-03-01T00:00:00Z,5.13
1998-04-01T00:00:00Z,4.6
1998-05-01T00:00:00Z,4.77
1998-06-01T00:00:00Z,4.75
1998-07-01T00:00:00Z,4.96
1998-08-01T00:00:00Z,4.71
1998-09-01T00:00:00Z,4.43
1998-10-01T00:00:00Z,4.41
1998-11-01T00:00:00Z,4.35
1998-12-01T00:00:00Z,3.87
1999-01-01T00:00:00Z,4.0
1999-02-01T00:00:00Z,NaN
1999-03-01T00:00:00Z,NaN
1999-04-01T00:00:00Z,4.21
1999-05-01T00:00:00Z,NaN
1999-06-01T00:00:00Z,NaN
1999-07-01T00:00:00Z,NaN
1999-08-01T00:00:00Z,3.52
1999-09-01T00:00:00Z,NaN
1999-10-01T00:00:00Z,5.2
1999-11-01T00:00:00Z,NaN
1999-12-01T00:00:00Z,NaN
2000-01-01T00:00:00Z,4.28
2000-02-01T00:00:00Z,NaN
2000-03-01T00:00:00Z,NaN
2000-04-01T00:00:00Z,3.48
2000-05-01T00:00:00Z,NaN
2000-06-01T00:00:00Z,NaN
2000-07-01T00:00:00Z,3.53
2000-08-01T00:00:00Z,NaN
2000-09-01T00:00:00Z,NaN
2000-10-01T00:00:00Z,4.2
2000-11-01T00:00:00Z,NaN
2000-12-01T00:00:00Z,NaN
2001-01-01T00:00:00Z,5.17
2001-02-01T00:00:00Z,NaN
2001-03-01T00:00:00Z,NaN
2001-04-01T00:00:00Z,5.24
2001-05-01T00:00:00Z,NaN
2001-06-01T00:00:00Z,NaN
2001-07-01T00:00:00Z,3.82
2001-08-01T00:00:00Z,NaN
2001-09-01T00:00:00Z,NaN
2001-10-01T00:00:00Z,4.38
2001-11-01T00:00:00Z,NaN
2001-12-01T00:00:00Z,NaN
2002-01-01T00:00:00Z,4.77
2002-02-01T00:00:00Z,NaN
2002-03-01T00:00:00Z,NaN
2002-04-01T00:00:00Z,3.23
2002-05-01T00:00:00Z,NaN
2002-06-01T00:00:00Z,NaN
2002-07-01T00:00:00Z,4.04
2002-08-01T00:00:00Z,NaN
2002-09-01T00:00:00Z,NaN
2002-10-01T00:00:00Z,NaN
2002-11-01T00:00:00Z,4.06
2002-12-01T00:00:00Z,NaN
2003-01-01T00:00:00Z,NaN
2003-02-01T00:00:00Z,4.25
2003-03-01T00:00:00Z,NaN
2003-04-01T00:00:00Z,3.07
2003-05-01T00:00:00Z,NaN
2003-06-01T00:00:00Z,NaN
2003-07-01T00:00:00Z,4.51
2003-08-01T00:00:00Z,NaN
2003-09-01T00:00:00Z,NaN
2003-10-01T00:00:00Z,3.5
2003-11-01T00:00:00Z,NaN
2003-12-01T00:00:00Z,NaN
2004-01-01T00:00:00Z,4.69
2004-02-01T00:00:00Z,NaN
2004-03-01T00:00:00Z,4.91
2004-04-01T00:00:00Z,NaN
2004-05-01T00:00:00Z,NaN
2004-06-01T00:00:00Z,NaN
2004-07-01T00:00:00Z,4.37
2004-08-01T00:00:00Z,NaN
2004-09-01T00:00:00Z,NaN
2004-10-01T00:00:00Z,NaN
2004-11-01T00:00:00Z,3.32
2004-12-01T00:00:00Z,NaN
2005-01-01T00:00:00Z,3.12
2005-02-01T00:00:00Z,NaN
2005-03-01T00:00:00Z,NaN
2005-04-01T00:00:00Z,4.48
2005-05-01T00:00:00Z,NaN
2005-06-01T00:00:00Z,NaN
2005-07-01T00:00:00Z,4.07
2005-08-01T00:00:00Z,NaN
2005-09-01T00:00:00Z,NaN
2005-10-01T00:00:00Z,NaN
2005-11-01T00:00:00Z,2.81
2005-12-01T00:00:00Z,NaN
2006-01-01T00:00:00Z,NaN
2006-02-01T00:00:00Z,2.71
2006-03-01T00:00:00Z,NaN
2006-04-01T00:00:00Z,3.29
2006-05-01T00:00:00Z,NaN
2006-06-01T00:00:00Z,NaN
2006-07-01T00:00:00Z,3.84
2006-08-01T00:00:00Z,NaN
2006-09-01T00:00:00Z,NaN
2006-10-01T00:00:00Z,2.9
2006-11-01T00:00:00Z,NaN
2006-12-01T00:00:00Z,NaN
2007-01-01T00:00:00Z,3.8
2007-02-01T00:00:00Z,NaN
2007-03-01T00:00:00Z,NaN
2007-04-01T00:00:00Z,2.14
2007-05-01T00:00:00Z,NaN
2007-06-01T00:00:00Z,NaN
2007-07-01T00:00:00Z,3.21
2007-08-01T00:00:00Z,NaN
