time,SST
UTC,degree_C
1991-11-01T00:00:00Z,11.66
1991-12-01T00:00:00Z,10.332
1992-01-01T00:00:00Z,9.942
1992-02-01T00:00:00Z,10.767
1992-03-01T00:00:00Z,11.549
1992-04-01T00:00:00Z,11.927
1992-05-01T00:00:00Z,12.941
1992-06-01T00:00:00Z,13.588
1992-07-01T00:00:00Z,13.823
1992-08-01T00:00:00Z,13.328
1992-09-01T00:00:00Z,12.048
1992-10-01T00:00:00Z,12.334
1992-11-01T00:00:00Z,12.278
1992-12-01T00:00:00Z,10.854
1993-01-01T00:00:00Z,9.887
1993-02-01T00:00:00Z,10.079
1993-03-01T00:00:00Z,10.153
1993-04-01T00:00:00Z,10.837
1993-05-01T00:00:00Z,12.52
1993-06-01T00:00:00Z,14.644
1993-07-01T00:00:00Z,15.381
1993-08-01T00:00:00Z,14.152
1993-09-01T00:00:00Z,12.233
1993-10-01T00:00:00Z,11.932
1993-11-01T00:00:00Z,10.454
1993-12-01T00:00:00Z,10.007
1994-03-01T00:00:00Z,10.221
1994-04-01T00:00:00Z,11.053
1994-05-01T00:00:00Z,12.663
1994-06-01T00:00:00Z,14.044
1995-05-01T00:00:00Z,12.109
1995-06-01T00:00:00Z,12.915
1995-07-01T00:00:00Z,15.093
1995-08-01T00:00:00Z,14.088
1995-09-01T00:00:00Z,14.942
1995-10-01T00:00:00Z,14.814
1995-11-01T00:00:00Z,11.995
1995-12-01T00:00:00Z,11.998
1996-01-01T00:00:00Z,11.564
1996-02-01T00:00:00Z,10.881
1996-03-01T00:00:00Z,10.915
1996-04-01T00:00:00Z,11.321
1996-05-01T00:00:00Z,12.463
1996-06-01T00:00:00Z,13.517
1996-07-01T00:00:00Z,11.948
1996-08-01T00:00:00Z,11.638
1997-01-01T00:00:00Z,9.779
1997-09-01T00:00:00Z,17.749
1997-10-01T00:00:00Z,14.77
1997-11-01T00:00:00Z,13.192
1997-12-01T00:00:00Z,12.916
1998-01-01T00:00:00Z,12.39
1998-05-01T00:00:00Z,12.579
1998-06-01T00:00:00Z,13.402
1998-07-01T00:00:00Z,15.052
1998-08-01T00:00:00Z,13.989
1998-09-01T00:00:00Z,13.341
1998-10-01T00:00:00Z,13.094
1998-11-01T00:00:00Z,12.625
1998-12-01T00:00:00Z,10.812
1999-01-01T00:00:00Z,9.565
1999-02-01T00:00:00Z,9.282
1999-03-01T00:00:00Z,9.358
1999-10-01T00:00:00Z,10.727
1999-11-01T00:00:00Z,11.105
1999-12-01T00:00:00Z,10.505
2000-01-01T00:00:00Z,9.65
2000-02-01T00:00:00Z,9.953
2000-03-01T00:00:00Z,9.883
2000-04-01T00:00:00Z,10.603
2000-05-01T00:00:00Z,12.315
2000-06-01T00:00:00Z,12.192
2000-07-01T00:00:00Z,12.752
2000-08-01T00:00:00Z,12.725
2000-09-01T00:00:00Z,12.787
2000-10-01T00:00:00Z,11.505
2000-11-01T00:00:00Z,10.749
2000-12-01T00:00:00Z,10.148
2001-01-01T00:00:00Z,9.969
2001-02-01T00:00:00Z,9.557
2001-03-01T00:00:00Z,9.552
2001-04-01T00:00:00Z,9.908
2001-05-01T00:00:00Z,11.141
2001-06-01T00:00:00Z,13.499
2001-07-01T00:00:00Z,12.062
2001-08-01T00:00:00Z,13.69
2001-09-01T00:00:00Z,12.417
2001-10-01T00:00:00Z,11.601
2001-11-01T00:00:00Z,11.22
2002-02-01T00:00:00Z,9.521
2002-03-01T00:00:00Z,9.269
2002-04-01T00:00:00Z,9.737
2002-05-01T00:00:00Z,11.301
2002-06-01T00:00:00Z,13.759
2002-07-01T00:00:00Z,12.872
2002-08-01T00:00:00Z,11.569
2002-09-01T00:00:00Z,12.014
2002-10-01T00:00:00Z,10.526
2002-11-01T00:00:00Z,11.016
2002-12-01T00:00:00Z,12.024
2003-01-01T00:00:00Z,11.114
2003-02-01T00:00:00Z,10.623
2003-03-01T00:00:00Z,10.547
2003-04-01T00:00:00Z,10.828
2003-05-01T00:00:00Z,12.669
2003-06-01T00:00:00Z,13.314
2003-07-01T00:00:00Z,13.854
2003-08-01T00:00:00Z,13.115
2003-09-01T00:00:00Z,11.635
2003-10-01T00:00:00Z,13.157
2003-11-01T00:00:00Z,11.731
2003-12-01T00:00:00Z,11.141
2004-01-01T00:00:00Z,10.46
2004-02-01T00:00:00Z,10.21
2004-03-01T00:00:00Z,10.456
2004-04-01T00:00:00Z,11.102
2004-05-01T00:00:00Z,13.996
2004-06-01T00:00:00Z,14.947
2004-07-01T00:00:00Z,14.649
2004-08-01T00:00:00Z,14.213
2004-09-01T00:00:00Z,15.12
2004-10-01T00:00:00Z,13.086
2004-11-01T00:00:00Z,11.46
2004-12-01T00:00:00Z,10.429
2005-04-01T00:00:00Z,11.521
2005-05-01T00:00:00Z,13.508
2005-06-01T00:00:00Z,15.404
2005-07-01T00:00:00Z,14.395
2005-08-01T00:00:00Z,12.42
2005-09-01T00:00:00Z,12.095
2005-10-01T00:00:00Z,12.7
2005-11-01T00:00:00Z,11.756
2005-12-01T00:00:00Z,10.737
2006-01-01T00:00:00Z,11.455
2006-02-01T00:00:00Z,10.397
2006-03-01T00:00:00Z,10.19
2006-04-01T00:00:00Z,11.071
2006-05-01T00:00:00Z,11.919
2006-06-01T00:00:00Z,13.94
2006-07-01T00:00:00Z,12.722
2006-08-01T00:00:00Z,11.881
2006-09-01T00:00:00Z,13.387
2006-10-01T00:00:00Z,11.106
2006-11-01T00:00:00Z,11.509
2006-12-01T00:00:00Z,11.151
2007-01-01T00:00:00Z,9.697
2007-02-01T00:00:00Z,9.561
2007-03-01T00:00:00Z,10.042
2007-04-01T00:00:00Z,10.51
2007-05-01T00:00:00Z,11.412
2007-06-01T00:00:00Z,14.055
2007-07-01T00:00:00Z,16.177
2007-08-01T00:00:00Z,14.64
2007-09-01T00:00:00Z,13.088
2007-10-01T00:00:00Z,12.212
2007-11-01T00:00:00Z,11.136
2008-03-01T00:00:00Z,8.99
2008-04-01T00:00:00Z,9.331
2008-05-01T00:00:00Z,11.526
2008-06-01T00:00:00Z,12.283
2008-07-01T00:00:00Z,11.409
2008-08-01T00:00:00Z,14.703
2008-09-01T00:00:00Z,12.001
2008-10-01T00:00:00Z,12.943
2008-11-01T00:00:00Z,12.332
2008-12-01T00:00:00Z,10.66
2009-01-01T00:00:00Z,9.327
2009-02-01T00:00:00Z,8.989
2009-03-01T00:00:00Z,9.344
2009-04-01T00:00:00Z,9.634
2009-05-01T00:00:00Z,10.874
2009-06-01T00:00:00Z,13.457
2009-07-01T00:00:00Z,11.874
2009-08-01T00:00:00Z,13.973
2009-09-01T00:00:00Z,14.913
2009-10-01T00:00:00Z,13.045
2009-11-01T00:00:00Z,12.078
2009-12-01T00:00:00Z,10.341
2010-01-01T00:00:00Z,10.844
2010-02-01T00:00:00Z,10.973
2010-03-01T00:00:00Z,10.841
2010-04-01T00:00:00Z,11.007
2010-05-01T00:00:00Z,11.98
2010-06-01T00:00:00Z,13.473
2010-07-01T00:00:00Z,12.513
2010-08-01T00:00:00Z,12.669
2010-09-01T00:00:00Z,13.946
2010-10-01T00:00:00Z,13.085
2010-11-01T00:00:00Z,12.084
2010-12-01T00:00:00Z,10.712
2011-01-01T00:00:00Z,9.729
2011-07-01T00:00:00Z,14.796
2011-08-01T00:00:00Z,12.512
2011-09-01T00:00:00Z,12.161
2011-10-01T00:00:00Z,14.467
2011-11-01T00:00:00Z,12.011
2011-12-01T00:00:00Z,10.002
2012-01-01T00:00:00Z,9.178
2012-02-01T00:00:00Z,9.168
2012-03-01T00:00:00Z,8.743
2012-04-01T00:00:00Z,10.011
2012-05-01T00:00:00Z,11.395
2012-06-01T00:00:00Z,14.278
2012-07-01T00:00:00Z,15.294
2012-08-01T00:00:00Z,12.966
2012-09-01T00:00:00Z,12.384
2012-10-01T00:00:00Z,11.551
2012-11-01T00:00:00Z,12.167
2012-12-01T00:00:00Z,11.345
2013-01-01T00:00:00Z,9.898
2013-02-01T00:00:00Z,9.311
2013-03-01T00:00:00Z,9.165
2013-04-01T00:00:00Z,10.195
2013-05-01T00:00:00Z,11.733
2013-06-01T00:00:00Z,14.174
2013-07-01T00:00:00Z,11.758
2013-08-01T00:00:00Z,13.127
2013-09-01T00:00:00Z,16.042
2013-10-01T00:00:00Z,14.253
2013-11-01T00:00:00Z,11.609
2013-12-01T00:00:00Z,9.538
2014-01-01T00:00:00Z,8.885
2014-02-01T00:00:00Z,9.213
2014-03-01T00:00:00Z,10.281
2014-04-01T00:00:00Z,10.906
2014-05-01T00:00:00Z,13.419
2014-06-01T00:00:00Z,13.533
2014-07-01T00:00:00Z,12.842
2014-08-01T00:00:00Z,11.742
2014-09-01T00:00:00Z,15.629
2014-10-01T00:00:00Z,15.851
2014-11-01T00:00:00Z,13.786
2014-12-01T00:00:00Z,13.278
2015-01-01T00:00:00Z,12.377
2015-02-01T00:00:00Z,12.272
2015-03-01T00:00:00Z,11.265
2015-04-01T00:00:00Z,10.681
2015-05-01T00:00:00Z,12.681
2015-06-01T00:00:00Z,12.536
2015-07-01T00:00:00Z,15.103
2015-08-01T00:00:00Z,14.613
2015-09-01T00:00:00Z,15.323
2015-10-01T00:00:00Z,14.604
2015-11-01T00:00:00Z,13.315
2015-12-01T00:00:00Z,12.135
2016-01-01T00:00:00Z,11.412
2016-02-01T00:00:00Z,11.417
2016-03-01T00:00:00Z,11.554
2016-04-01T00:00:00Z,12.59
2016-05-01T00:00:00Z,13.303
2016-06-01T00:00:00Z,14.251
2016-07-01T00:00:00Z,15.132
2016-08-01T00:00:00Z,12.62
2016-09-01T00:00:00Z,14.09
2016-10-01T00:00:00Z,13.671
2016-11-01T00:00:00Z,14.035
2016-12-01T00:00:00Z,12.277
2017-01-01T00:00:00Z,10.361
2017-02-01T00:00:00Z,10.462
2017-03-01T00:00:00Z,10.391
2017-04-01T00:00:00Z,10.758
2017-05-01T00:00:00Z,12.232
2017-06-01T00:00:00Z,14.282
2017-07-01T00:00:00Z,13.586
2017-08-01T00:00:00Z,12.11
2017-09-01T00:00:00Z,13.378
2017-10-01T00:00:00Z,13.286
2017-11-01T00:00:00Z,11.871
2017-12-01T00:00:00Z,11.183
2018-01-01T00:00:00Z,10.949
2018-02-01T00:00:00Z,10.136
2018-03-01T00:00:00Z,9.89
2018-04-01T00:00:00Z,10.561
2018-05-01T00:00:00Z,12.73
2018-06-01T00:00:00Z,15.013
2018-07-01T00:00:00Z,13.485
2018-08-01T00:00:00Z,14.369
2018-09-01T00:00:00Z,13.826
2018-10-01T00:00:00Z,13.886
