time,dissolved_oxygen
UTC,ml/L
2004-05-11T00:00:00Z,NaN
2004-05-13T00:00:00Z,NaN
2004-05-25T00:00:00Z,NaN
2004-06-07T00:00:00Z,NaN
2004-06-26T00:00:00Z,1.97
2004-06-29T00:00:00Z,NaN
2004-07-06T00:00:00Z,NaN
2004-07-19T00:00:00Z,1.665809
2004-07-28T00:00:00Z,0.9214
2004-08-02T00:00:00Z,0.49384826
2004-08-08T00:00:00Z,NaN
2004-08-30T00:00:00Z,1.99
2004-09-02T00:00:00Z,1.48
2004-09-03T00:00:00Z,1.48
2004-09-07T00:00:00Z,1.26
2004-09-16T00:00:00Z,1.7469501
2004-09-29T00:00:00Z,NaN
2004-10-14T00:00:00Z,NaN
2004-10-28T00:00:00Z,NaN
2004-11-07T00:00:00Z,NaN
2004-11-22T00:00:00Z,NaN
2004-12-20T00:00:00Z,NaN
2005-01-25T00:00:00Z,NaN
2005-02-02T00:00:00Z,NaN
2005-02-23T00:00:00Z,NaN
2005-03-18T00:00:00Z,NaN
2005-04-14T00:00:00Z,NaN
2005-04-27T00:00:00Z,NaN
2005-05-28T00:00:00Z,NaN
2005-06-07T00:00:00Z,NaN
2005-06-18T00:00:00Z,2.25896
2005-06-22T00:00:00Z,NaN
2005-07-06T00:00:00Z,NaN
2005-07-28T00:00:00Z,NaN
2005-08-02T00:00:00Z,NaN
2005-08-18T00:00:00Z,NaN
2005-08-26T00:00:00Z,NaN
2005-08-29T00:00:00Z,NaN
2005-09-14T00:00:00Z,1.09855
2005-09-21T00:00:00Z,NaN
2005-09-28T00:00:00Z,1.01848
2005-10-21T00:00:00Z,NaN
2005-10-22T00:00:00Z,NaN
2005-11-15T00:00:00Z,5.49287
2005-12-05T00:00:00Z,5.43468
2006-02-15T00:00:00Z,2.99787
2006-03-28T00:00:00Z,5.98574
2006-04-05T00:00:00Z,6.2776
2006-04-18T00:00:00Z,6.36566
2006-04-26T00:00:00Z,3.78974
2006-05-03T00:00:00Z,1.72357
2006-05-10T00:00:00Z,1.6
2006-05-15T00:00:00Z,1.29
2006-05-30T00:00:00Z,NaN
2006-06-07T00:00:00Z,2.5662
2006-06-13T00:00:00Z,1.36936
2006-06-15T00:00:00Z,2.05179
2006-06-28T00:00:00Z,NaN
2006-06-29T00:00:00Z,1.35069
2006-07-06T00:00:00Z,1.62964
2006-07-13T00:00:00Z,1.14295
2006-08-01T00:00:00Z,0.76118
2006-08-10T00:00:00Z,1.11077
2006-08-23T00:00:00Z,1.5906
2006-08-29T00:00:00Z,1.62628
2006-09-13T00:00:00Z,1.38826
2006-09-18T00:00:00Z,1.5028
2006-09-26T00:00:00Z,0.98421
2006-09-28T00:00:00Z,0.67909
2006-10-12T00:00:00Z,1.89897
2006-10-31T00:00:00Z,1.29767
2006-11-29T00:00:00Z,5.82121
2006-12-05T00:00:00Z,5.40792
2007-01-12T00:00:00Z,4.07971
2007-01-24T00:00:00Z,3.45177
2007-02-13T00:00:00Z,6.00219
2007-03-05T00:00:00Z,6.17463
2007-03-14T00:00:00Z,5.35158
2007-03-22T00:00:00Z,4.13424
2007-03-30T00:00:00Z,2.16771
2007-04-19T00:00:00Z,2.72975
2007-05-04T00:00:00Z,3.51098
2007-05-15T00:00:00Z,1.56195
2007-05-30T00:00:00Z,1.49767
2007-06-08T00:00:00Z,1.46437
2007-06-12T00:00:00Z,1.43629
2007-06-27T00:00:00Z,1.38417
2007-06-28T00:00:00Z,1.3394
2007-06-30T00:00:00Z,NaN
2007-07-03T00:00:00Z,1.40963
2007-07-14T00:00:00Z,1.21236
2007-07-28T00:00:00Z,1.07098
2007-08-07T00:00:00Z,1.12364
2007-08-15T00:00:00Z,1.41589
2007-08-30T00:00:00Z,0.85473
2007-09-12T00:00:00Z,1.40006
2007-09-24T00:00:00Z,1.6245
2007-10-12T00:00:00Z,4.0303
2007-10-23T00:00:00Z,4.50221
2007-11-07T00:00:00Z,2.46228
2007-11-20T00:00:00Z,5.68407
2007-12-10T00:00:00Z,5.46017
2008-02-12T00:00:00Z,6.69265
2008-02-17T00:00:00Z,3.70415
2008-03-04T00:00:00Z,5.56264
2008-03-18T00:00:00Z,5.11527
2008-03-21T00:00:00Z,5.11527
2008-03-31T00:00:00Z,3.49756
2008-04-12T00:00:00Z,2.31669
2008-04-22T00:00:00Z,NaN
2008-05-01T00:00:00Z,2.47964
2008-05-09T00:00:00Z,1.44848
2008-05-21T00:00:00Z,1.75906
2008-05-27T00:00:00Z,1.55231
2008-06-11T00:00:00Z,1.53997
2008-06-24T00:00:00Z,1.42043
2008-06-29T00:00:00Z,1.25924
2008-07-01T00:00:00Z,1.36403
2008-07-12T00:00:00Z,1.47917
2008-07-18T00:00:00Z,2.38282
2008-07-28T00:00:00Z,2.23159
2008-08-05T00:00:00Z,1.34645
2008-08-12T00:00:00Z,2.1377
2008-08-22T00:00:00Z,3.11817
2008-09-08T00:00:00Z,1.87096
2008-09-16T00:00:00Z,2.03858
2008-09-23T00:00:00Z,2.61902
2008-10-01T00:00:00Z,3.93006
2008-10-12T00:00:00Z,4.44683
2008-10-22T00:00:00Z,2.8763
2008-10-27T00:00:00Z,2.38974
2008-11-19T00:00:00Z,5.46178
2008-11-24T00:00:00Z,5.34872
2008-12-08T00:00:00Z,4.84872
2009-01-14T00:00:00Z,5.73462
2009-01-23T00:00:00Z,5.11416
2009-02-04T00:00:00Z,3.91557
2009-02-17T00:00:00Z,5.60053
2009-03-06T00:00:00Z,6.20391
2009-03-24T00:00:00Z,6.11252
2009-04-04T00:00:00Z,2.40031
2009-04-23T00:00:00Z,1.86627
2009-05-07T00:00:00Z,5.25448
2009-05-16T00:00:00Z,2.25403
2009-05-26T00:00:00Z,1.62737
2009-06-02T00:00:00Z,1.51953
2009-06-14T00:00:00Z,1.84257
2009-06-30T00:00:00Z,1.37912
2009-07-08T00:00:00Z,1.2992
2009-07-12T00:00:00Z,1.4662
2009-07-23T00:00:00Z,1.06982
2009-07-28T00:00:00Z,1.5423
2009-08-14T00:00:00Z,1.51622
2009-08-27T00:00:00Z,1.23898
2009-09-10T00:00:00Z,2.38843
2009-09-22T00:00:00Z,3.66275
2009-09-29T00:00:00Z,1.61916
2009-10-05T00:00:00Z,2.09023
2009-10-19T00:00:00Z,5.19674
2009-11-04T00:00:00Z,3.97395
2009-11-10T00:00:00Z,5.87317
2009-12-01T00:00:00Z,4.50603
2009-12-23T00:00:00Z,5.67618
2010-02-09T00:00:00Z,5.99191
2010-02-22T00:00:00Z,5.81729
2010-03-19T00:00:00Z,4.05174
2010-03-20T00:00:00Z,NaN
2010-04-11T00:00:00Z,5.32773
2010-05-05T00:00:00Z,2.30871
2010-05-15T00:00:00Z,2.04566
2010-05-30T00:00:00Z,3.39184
2010-06-04T00:00:00Z,4.65449
2010-06-18T00:00:00Z,2.29848
2010-06-26T00:00:00Z,1.85451
2010-06-28T00:00:00Z,1.96584
2010-07-15T00:00:00Z,1.78667
2010-07-20T00:00:00Z,1.96509
2010-07-29T00:00:00Z,2.12456
2010-08-07T00:00:00Z,1.84657
2010-08-10T00:00:00Z,1.73924
2010-08-18T00:00:00Z,1.74757
2010-09-03T00:00:00Z,1.36783
2010-09-09T00:00:00Z,1.3307
2010-09-20T00:00:00Z,2.21043
2010-09-28T00:00:00Z,2.84174
2010-10-06T00:00:00Z,1.96117
2010-10-19T00:00:00Z,1.76611
2010-11-04T00:00:00Z,5.93133
2010-11-24T00:00:00Z,4.75557
2011-01-10T00:00:00Z,5.90085
2011-01-25T00:00:00Z,4.67702
2011-02-10T00:00:00Z,2.75225
2011-02-26T00:00:00Z,3.87301
2011-03-23T00:00:00Z,NaN
2011-04-08T00:00:00Z,3.37751
2011-04-17T00:00:00Z,6.15168
2011-05-09T00:00:00Z,2.49791
2011-05-18T00:00:00Z,1.88574
2011-06-08T00:00:00Z,1.40659
2011-06-22T00:00:00Z,1.64981
2011-06-27T00:00:00Z,1.42625
2011-07-06T00:00:00Z,1.83169
2011-07-22T00:00:00Z,1.19256
2011-07-25T00:00:00Z,1.157
2011-07-27T00:00:00Z,1.24444
2011-08-04T00:00:00Z,1.52057
2011-08-17T00:00:00Z,0.9918
2011-09-01T00:00:00Z,0.61754
2011-09-13T00:00:00Z,0.60934
2011-09-20T00:00:00Z,0.9041
2011-09-26T00:00:00Z,3.51308
2011-09-29T00:00:00Z,5.62379
2011-10-15T00:00:00Z,3.26474
2011-10-26T00:00:00Z,2.52895
2011-11-29T00:00:00Z,5.84459
2011-12-10T00:00:00Z,3.97137
2012-01-08T00:00:00Z,6.01857
2012-02-11T00:00:00Z,5.92207
